sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,450,2003.282996
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,450,1955.994691
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,450,1882.890218
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,450,1859.937001
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,250,1828.234901
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,250,1900.09451
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,250,1961.329073
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,250,1844.347271
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,150,1629.843168
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,150,1567.030675
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,150,1989.089245
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,150,1740.93844
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,100,1344.047099
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,100,1483.422284
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,100,1516.629686
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,100,1605.778026
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,60,1257.565156
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,60,1445.423904
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,60,1274.409799
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,60,1482.23598
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,30,881.3605241
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,30,951.826452
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,30,871.1866529
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,30,1003.019425
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,10,394.7316065
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,10,403.7527382
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,10,412.6037935
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,10,400.2850709
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,450,2408.057165
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,450,2568.767055
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,450,2200.91617
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,450,1955.096634
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,250,2376.858358
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,250,2734.232049
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,250,1868.61103
