"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2015-08-21,12.5196373337829,430.856611593608,0,0,13.6526955714286,2.352106
2015-08-22,12.5950091462705,433.485037131875,0,0,13.4883584285714,2.375867
2015-08-23,12.6681331175675,435.94402120237,0,0,13.3622422857143,2.240357
2015-08-24,12.7371122487267,438.073672075959,0,0,13.6200111428572,1.986208
2015-08-25,12.800386109227,439.753294400674,0,0,13.8897081428572,2.464999
2015-08-26,12.8569623776136,440.914686213803,0,2,13.852494,2.433313
2015-08-27,12.9065733826472,441.547222403194,0,18,13.3581441428571,2.340415
2015-08-28,12.9497157589904,441.694440965342,0,7,12.9005941428571,1.916909
2015-08-29,12.9875551645236,441.443749918071,0,0,12.5913247142857,2.475447
2015-08-30,13.021707006266,440.911801475395,0,0,12.1619118571429,2.743669
2015-08-31,13.0539275522509,440.228234169999,0,3,11.523397,2.143939
2015-09-01,13.0857637273913,439.520097026273,0,3,10.9255837142857,2.171797
2015-09-02,13.1182189240234,438.898868951172,0,7,10.7053514285714,1.791545
2015-09-03,13.1514971635622,438.451364885427,0,10,10.6004755714286,2.510387
2015-09-04,13.1848790555452,438.235007839575,0,13,10.2243811428571,2.223379
2015-09-05,13.2167588265407,438.276581838152,0,10,9.66602271428572,1.057986
2015-09-06,13.2448370538476,438.572961549636,0,5,9.27826642857143,1.522611
2015-09-07,13.2664336610604,439.092660519792,0,4,9.01208771428572,1.823941
2015-09-08,13.278867623903,439.777640377974,0,4,8.93236714285715,1.767359
2015-09-09,13.2798394515267,440.545085310468,0,0,8.930776,2.38572
2015-09-10,13.2677478000914,441.289084071224,0,0,9.23790928571429,2.456534
2015-09-11,13.2418796478343,441.88239026068,0,0,9.779967,2.38809
2015-09-12,13.2024378019046,442.179197314384,0,0,10.3565748571429,2.442547
2015-09-13,13.1504071061108,442.020177636168,0,0,10.8467045714286,2.163323
2015-09-14,13.087294135813,441.240366740949,0,0,11.1285257142857,2.482212
2015-09-15,13.0147945882509,439.679666246443,0,14,11.0447025714286,2.092771
2015-09-16,12.9344517269548,437.19534020342,0,6,10.8710357142857,1.148701
2015-09-17,12.8473726524621,433.675726365678,0,0,10.692316,1.562429
2015-09-18,12.7540611363441,429.054293679376,0,0,10.4081231428571,1.709884
2015-09-19,12.6544026473273,423.322602591637,0,0,9.97701442857143,1.706524
2015-09-20,12.5478011048679,416.540250729015,0,0,9.59174742857143,1.841744
2015-09-21,12.4334345378346,408.840237552993,0,0,9.56668385714286,1.93458
2015-09-22,12.3105784075264,400.428753424697,0,0,9.89886771428572,1.640091
2015-09-23,12.1789366127792,391.578848136181,0,0,10.2548247142857,1.612995
2015-09-24,12.0389160812813,382.617652910187,0,0,10.6417832857143,1.944345
2015-09-25,11.8917880438793,373.907170855882,0,0,11.1331555714286,1.808781
2015-09-26,11.7397000099645,365.819574066826,0,0,11.7010658571429,1.759423
2015-09-27,11.5855347701633,358.709127102321,0,0,12.1985677142857,1.69688
2015-09-28,11.4326426879264,352.883511364922,0,0,12.5593725714286,1.55264
2015-09-29,11.2844916254947,348.577633122117,0,0,12.824845,1.450834
2015-09-30,11.1442912649668,345.932947961755,0,0,12.988598,1.199118
2015-10-01,11.0146570602723,344.985180868717,0,0,13.0137182857143,1.334813
2015-10-02,10.8973744342111,345.662704640012,0,0,12.7507482857143,1.834023
2015-10-03,10.7933049268682,347.79645503313,0,0,12.201711,1.180958
2015-10-04,10.7024462955692,351.140373409497,0,0,11.6117931428571,1.015207
2015-10-05,10.6241291701633,355.399664451312,0,5,10.8343098571429,1.48514
2015-10-06,10.5573132099444,360.262880133618,0,4,9.86379414285715,1.290686
2015-10-07,10.50092733346,365.433352096632,0,0,8.98630471428572,1.059883
2015-10-08,10.4541841203936,370.655517877252,0,0,8.29976385714286,1.231297
2015-10-09,10.416799345843,375.732400704604,0,0,7.94573814285715,1.176348
2015-10-10,10.38906520178,380.532015034,0,0,7.97080171428572,1.253985
2015-10-11,10.3717555037894,384.982505677872,0,0,8.10036628571429,1.096681
2015-10-12,10.3658728698033,389.05791792045,0,0,8.45323242857143,1.106001
2015-10-13,10.372271461384,392.758139395076,0,0,9.08092242857143,1.104831
2015-10-14,10.3912136528465,396.087228544405,0,0,9.68722385714286,1.073651
2015-10-15,10.4219409989794,399.034329258351,0,0,10.0854564285714,0.969843
2015-10-16,10.4623461416969,401.560717623089,0,0,10.2499724285714,0.783268
2015-10-17,10.508818839912,403.595274821408,0,0,10.1292535714286,0.581052
2015-10-18,10.5563109761168,405.039054833441,0,2,9.737495,1.066124
2015-10-19,10.5986316848951,405.777799005678,0,6,9.02695414285715,1.612756
2015-10-20,10.6289541663526,405.699745571694,0,7,8.13884457142857,1.075187
2015-10-21,10.64048298706,404.715418634079,2,2,7.18257185714286,0.458854
2015-10-22,10.6271967026393,402.776001500934,11,11,5.9045,1.109452
2015-10-23,10.5845598139468,399.887228519624,10,10,4.59756285714286,0.569074
2015-10-24,10.5100986263757,396.11640359188,0,0,3.57357171428572,0.714004
