energy,Hillslope1_20-30cm_2017,Hillslope3_20-30cm_2017,Hillslope3_50-60cm_2017,MCB3_15-30cm_2017,MCB3_50-90cm_2017,MCB3_105-140cm_2017,MCB3_0-12cm_2018,MCB3_40-55cm_2018,MCB3_70-85cm_2018,MZA2_0-15cm_2018,MZA2_30-45cm_2018,MZA2_60-75cm_2018,MYC3_2-15cm_2018
2477.7,0.63989109,0.53055533,0.66801209,0.64121071,0.75077779,0.86519881,0.77850423,0.72341601,0.74854468,0.74597392,0.69961669,0.70406484,0.96250721
2477.85,0.65602453,0.55449337,0.69621916,0.64895458,0.76840237,0.87417826,0.79296291,0.73354734,0.80147608,0.7491899,0.6917917,0.71445194,0.96601611
2478,0.70464741,0.57674529,0.68982871,0.6736905,0.79602529,0.88600277,0.79926241,0.73421432,0.76924164,0.76505786,0.72858776,0.7082417,0.9768018
2478.15,0.68977024,0.62579279,0.73359404,0.71071285,0.79893068,0.88917416,0.80648946,0.74462841,0.78557972,0.77161283,0.75383353,0.73863648,0.97150088
2478.3,0.739224,0.65884005,0.74240271,0.73297485,0.83874018,0.92238607,0.83816776,0.75978686,0.78921485,0.77011641,0.73453323,0.72996895,0.98042728
2478.45,0.76521387,0.70467398,0.78931612,0.7647168,0.88940154,0.9254352,0.86579622,0.78613973,0.84526782,0.81051572,0.76428205,0.77945932,1.0021967
2478.6,0.79141692,0.74260233,0.82367499,0.8140139,0.91149507,0.93982498,0.8946883,0.80616856,0.87082154,0.83025186,0.81979944,0.81570727,1.0210642
2478.75,0.86298045,0.8052156,0.88038253,0.8893768,0.94280412,0.95790088,0.94302302,0.86107559,0.95319951,0.8839125,0.88374623,0.87773483,1.0419421
2478.9,0.91995033,0.87203914,0.91732469,0.95618566,0.99055412,0.99084324,1.0019603,0.91256959,0.97003475,0.94694496,0.93614675,0.71539653,1.0768673
2479.05,0.98503175,0.95402804,0.99294383,1.0859233,1.0763228,1.0098903,1.0547495,1.0044663,1.0118504,1.039656,1.0266759,0.98454682,1.1220227
2479.2,1.0871921,1.0938198,1.0775645,1.1687634,1.1397803,1.0358767,1.1676867,1.0975169,1.1744949,1.126227,1.0904837,1.0546829,1.1638389
2479.35,1.1932595,1.2431262,1.2000417,1.307986,1.2472036,1.0604691,1.2764086,1.2273908,1.2452735,1.2522494,1.2484889,1.1596053,1.2297227
