energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2477.85,0.75933467,0.90947007,0.81910591,0.79548297,0.74960282,0.67049696,0.82890302,0.76017478,0.98933299,0.71617532,0.75497305,0.93258827,1.0488252,0.72747663,0.991933
2478,0.7914135,0.91683077,0.82814347,0.81695435,0.76721997,0.68394088,0.85960341,0.77999666,1.0080789,0.75073067,0.77019538,0.95389018,1.0066772,0.75024227,0.99568652
2478.15,0.78027564,0.93543368,0.87318012,0.83879991,0.77710402,0.7277154,0.89398472,0.82944708,0.99280687,0.7775198,0.80757777,1.0010344,1.0215395,0.77621886,1.003305
2478.3,0.81219486,0.95520791,0.89837548,0.87848326,0.7969076,0.74025711,0.92751377,0.86506044,1.0145018,0.80388535,0.8286109,0.99891515,1.0279256,0.81470089,1.0306294
2478.45,0.83956279,0.98086895,0.92444109,0.91266971,0.82449559,0.77150852,0.97637294,0.91113277,1.0243085,0.86158546,0.86600829,1.0180323,1.0467399,0.85253776,1.0361829
2478.6,0.88032718,1.0132038,0.96025433,0.95757177,0.87144604,0.81295762,1.0309094,0.97046302,1.0172102,0.91858324,0.90912879,1.032452,1.0309703,0.9174422,1.0453299
2478.75,0.91286423,1.0526867,1.0120096,1.0071406,0.90141467,0.87291094,1.0931894,1.0255363,1.0489855,0.96943238,0.94530552,1.0852906,1.0381614,0.97029871,1.0599502
2478.9,0.96825041,1.0963181,1.0718832,1.0628518,0.94626753,0.91284832,1.1472158,1.1095872,1.0755697,1.0446316,1.0155794,1.1626127,1.0568865,1.037872,1.0722788
2479.05,1.0131748,1.1445581,1.1389277,1.1266527,1.0263566,0.99299649,1.2277056,1.2060077,1.1078265,1.1347789,1.1023809,1.2159771,1.1136976,1.112557,1.099175
2479.2,1.1061246,1.2057809,1.2216602,1.2146593,1.1206846,1.1096495,1.3217989,1.3138207,1.1450802,1.2423774,1.1933507,1.2503771,1.1440672,1.2240966,1.1083972
2479.35,1.1959132,1.2894123,1.3363775,1.3196765,1.222461,1.2415746,1.4270353,1.4412186,1.2011898,1.3886055,1.3018915,1.3534315,1.1875759,1.3457427,1.1239125
2479.5,1.3201712,1.3748655,1.4383801,1.4328753,1.3450736,1.4025458,1.5613433,1.6064342,1.2761144,1.5432264,1.5049846,1.5366175,1.2420688,1.5075881,1.1471281
2479.65,1.4390438,1.478689,1.6066254,1.5655643,1.477634,1.5674933,1.692317,1.8805729,1.3170815,1.724964,1.6181514,1.6391477,1.2863606,1.6699446,1.1508541
2479.8,1.5749168,1.5854451,1.7254624,1.6919207,1.628145,1.7387884,1.8428512,1.9570059,1.3749974,1.9019952,1.7788252,1.7873301,1.3362045,1.8103587,1.1775242
2479.95,1.6982172,1.6702941,1.8476455,1.8021874,1.7568188,1.8956535,1.9551057,2.1822216,1.4346928,2.0692354,1.9085992,1.9437812,1.3873509,1.9646313,1.1870573
2480.1,1.7656046,1.7535493,1.9688426,1.9032516,1.8775693,2.0636463,2.0345567,2.2468531,1.5129278,2.1928229,2.0491107,2.0202043,1.4325703,2.0898594,1.1946091
2480.25,1.8289092,1.8008625,2.0220849,1.971922,1.9367131,2.1292752,2.1010559,2.3358369,1.5383347,2.2798023,2.1171598,2.192334,1.4660523,2.1645612,1.2042219
2480.4,1.8870086,1.8308375,2.0518793,1.9948196,1.9768467,2.2033026,2.1378004,2.3764128,1.5867857,2.3132381,2.1502772,2.3156547,1.5476859,2.2193716,1.202793
2480.55,1.9175017,1.8319527,2.073147,2.0284614,2.0067755,2.2187173,2.1490158,2.376027,1.5911328,2.3447311,2.157796,2.3636948,1.510426,2.2263774,1.2172072
2480.7,1.9119654,1.813746,2.056965,2.0044402,2.0100753,2.2315416,2.1239165,2.3398153,1.5839539,2.34038,2.1518604,2.4612559,1.5211231,2.2112971,1.206418
2480.85,1.9292526,1.7890548,2.0458962,1.9742149,2.002434,2.230413,2.08412,2.307678,1.6008311,2.2766308,2.1224554,2.5465867,1.5224935,2.1840681,1.2134985
2481,1.9287464,1.7438806,2.0221154,1.9559682,1.9965032,2.2306971,2.0388033,2.253811,1.628828,2.2331545,2.1102428,2.6561167,1.5222542,2.1407566,1.2245027
