GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2498.55,0.99789086,2498.55,0.99133139,2498.55,1.0303614,2498.55,0.95877858,2498.55,0.97267437
2498.7,0.98260889,2498.7,0.98968314,2498.7,1.0259703,2498.7,0.96145727,2498.7,0.97844949
2498.85,0.98891317,2498.85,0.98415396,2498.85,1.0161846,2498.85,0.96054391,2498.85,0.979101
2499,0.9906034,2499,0.98047016,2499,1.0216011,2499,0.95978806,2499,0.97160381
2499.15,0.97557638,2499.15,0.98009728,2499.15,1.0320826,2499.15,0.95468963,2499.15,0.96700491
2499.3,0.98728459,2499.3,0.97899499,2499.3,1.0130783,2499.3,0.95326432,2499.3,0.97462769
2499.45,0.98772368,2499.45,0.98260796,2499.45,1.0166238,2499.45,0.95757672,2499.45,0.96432849
2499.6,0.97391537,2499.6,0.96727016,2499.6,1.013028,2499.6,0.95866183,2499.6,0.96467716
2499.75,0.97425278,2499.75,0.96937321,2499.75,1.0029596,2499.75,0.95313263,2499.75,0.96325496
2499.9,0.9656023,2499.9,0.96278955,2499.9,1.0062147,2499.9,0.948669,2499.9,0.96015322
2500.05,0.96836979,2500.05,0.96040865,2500.05,1.0016631,2500.05,0.9403971,2500.05,0.95509888
2500.2,0.95797007,2500.2,0.96154678,2500.2,0.9932933,2500.2,0.93880812,2500.2,0.94973785
2500.35,0.96106323,2500.35,0.95286543,2500.35,0.99399999,2500.35,0.93988328,2500.35,0.9553336
2500.5,0.95498578,2500.5,0.95456735,2500.5,0.98096428,2500.5,0.94452365,2500.5,0.95490489
2500.65,0.95751747,2500.65,0.95780359,2500.65,0.98287609,2500.65,0.93676759,2500.65,0.94731436
2500.8,0.95212822,2500.8,0.95109045,2500.8,0.98872852,2500.8,0.9362844,2500.8,0.94484593
2500.95,0.94277333,2500.95,0.95318669,2500.95,0.96737768,2500.95,0.93151308,2500.95,0.94277985
2501.1,0.93708639,2501.1,0.94579957,2501.1,0.97079564,2501.1,0.93167819,2501.1,0.94175615
2501.25,0.94154417,2501.25,0.94661569,2501.25,0.97425812,2501.25,0.93131721,2501.25,0.94527285
2501.4,0.95193198,2501.4,0.94112317,2501.4,0.96190886,2501.4,0.92774962,2501.4,0.93863466
2501.55,0.9360178,2501.55,0.94305889,2501.55,0.97189287,2501.55,0.92642934,2501.55,0.94008761
