Depth,BD.g.cc_mean,Plot,Treatment,MidDepth,Date,C13,%C,%N,CN,Instrument,MB_C.mg.gdrysoil
60-70,1.473419635,3,Heated,65,20160517,-24.5,1.01,0.04,26.86,LBL_IRMS,NA
60-70,1.473419635,3,Heated,65,20180404,-24.01,0.341244885,0.012824048,26.60976407,UCD_SIF_IRMS,NA
60-70,1.473419635,3,Heated,65,20180404,-23.5155,0.19565145,0.009114,21.46713298,UZH,NA
70-80,1.484326179,3,Heated,75,20140603,NA,0.140542568,0.011063109,12.7,UCBerk_IRMS,0.060997141
70-80,1.484326179,3,Heated,75,20160517,-23.44,0.28,0.01,22.08,LBL_IRMS,NA
70-80,1.484326179,3,Heated,75,20180404,-23.34,0.197774978,0.009771064,20.2408848,UCD_SIF_IRMS,NA
70-80,1.484326179,3,Heated,75,20180404,-23.8305,0.2598902,0.0139829,18.58628754,UZH,NA
80-90,1.466521104,3,Heated,85,20140603,NA,0.361348302,0.006121899,59.03,UCBerk_IRMS,0.152904214
80-90,1.466521104,3,Heated,85,20160517,NA,0.12,0.01,18.74,LBL_IRMS,0.015467928
80-90,1.466521104,3,Heated,85,20180404,-23.693,0.2030372,0.0088238,23.01017702,UZH,NA
80-90,1.466521104,3,Heated,85,20180404,-23.86,0.171089488,0.007262048,23.5594005,UCD_SIF_IRMS,0.018413074
90-100,1.350239042,3,Heated,95,20140603,NA,0.125959073,0.008605346,14.64,UCBerk_IRMS,0.070558822
90-100,1.350239042,3,Heated,95,20160517,-24.04,0.25,0.01,24.55,LBL_IRMS,NA
